Timestamp,1. Akran eğitimi modelini kullanarak öğrencilere ders vermeye kendimi yeterince hazır hissettim.,"2.Bire bir yapılan özel derslerin, öğrenci başarısı açısından grup derslerinden daha etkili olduğunu düşünüyorum.","3.Bireysel mentorluk gibi kişiselleştirilmiş destekler, öğrenci öğrenme sonuçlarını önemli ölçüde geliştirir.","4.Derslerde ana araç olarak Zoom'u kullanmak, etkili akran eğitimi oturumları yürütmek için yeterliydi.","5.Özel olarak tasarlanmış bir akranlar arası (P2P) eğitim platformu, dersleri etkili bir şekilde verebilme yeteneğimi önemli ölçüde artırırdı.",6.1 Sosyal Etki],6.2 Profesyonel Gelişim],6.3 Topluluk Oluşturma],"6.4 Profesyonel Tanınırlık (örneğin, referans mektubu veya sertifika)]",6.5 Maddi Destek / Ücretli Çalışma],7.1 Anonim Anketler],7.2 Geri Bildirim Kutuları],7.3 Bire Bir Görüşmeler],7.4 Platform tarafından toplanan verilere dayalı Analitik Raporlar],8.Her hafta çevrim içi gönüllü ders vermek için ____ saat ayırmaya istekliyim.,"9.Maddi destek sağlanırsa, çevrim içi ders vermek için haftada fazladan ____ saat daha ayırabilirim.",10.Yenilikçi bir P2P eğitim platformu tasarlamamıza yardımcı olabilecek öneri veya yorumlarınız var mı?
4/16/2025 12:32:24,5,5,5,4,4,4,4,4,3,1,5,5,5,5,1,"0, maddi destek bu proje için gönüllülük esaslarıma aykırı. Daha fazla ihtiyacı olan eğitmenlere ödenek ayrılabilir.",Her şey için teşekkür. 
4/16/2025 12:45:47,5,3,5,4,4,5,4,4,3,4,4,4,5,5,10,10,"Bizim de içinde bulunduğumuz bir toplantı odasında birbirleriyle egitimsel, bilgisel görüşmeler yapılarak sorular çözdürülerek fikirler verilerek birbirlerinden bir şeyleri öğrenmeleri mümkün olabilir. Verimli de olacaktır. "
4/16/2025 12:47:25,5,3,5,5,4,3,3,3,3,3,4,4,4,3,4,4,"Offline erişim: Derslerin indirilebilir olması, özellikle interneti kısıtlı olanlar için çok önemli olabilir."
4/16/2025 12:57:10,4,4,5,3,4,3,4,3,2,2,3,3,3,4,1 saat,1 saat daha ,Kendi eğitim online buluşma platformunun olması zoom veya diğer online buluşma  uygulamaları sürenin sınırlı olmasından kaynaklı fonksiyonel olmuyor. 
4/16/2025 22:59:35,4,4,5,4,4,4,4,4,4,4,2,3,3,3,3,5,Yapay zeka ile matematik eğitimi yapılabilir 
4/17/2025 16:12:34,4,4,5,5,4,4,4,4,4,4,4,4,4,4,Şu aralar maalesef vaktim yok ama belki yakın gelecekte neden olmasın.,Maddi destek gibi bir beklentim yok.,Aklıma birşey gelmedi açıkçası 
4/21/2025 23:13:05,3,5,5,5,5,5,3,5,1,1,5,5,5,5,2,Maddi destek kabul etmiyorum,Yok
4/23/2025 23:24:38,4,3,5,3,5,5,5,4,5,3,5,5,5,4,6,9,Hem maddi destek saglanmasi hem de gönüllü olarak bizim destek olabilme imkanımız olması platformda gerçekten çok faydali. İki taraf için de hem öğrenci hem de öğretmenler için karşılıklı fayda.
4/24/2025 16:18:28,5,3,5,5,5,5,5,5,4,2,5,5,5,5,5,20,"Mentor-mentee eşleşmesi, yapay zekâ destekli; kullanıcılar hem öğrenci hem eğitmen olabilir."
4/25/2025 20:16:52,5,5,4,4,4,5,5,5,5,5,4,4,2,5,2,4,Her şey yolunda.
4/25/2025 20:21:10,2,3,4,5,4,4,4,4,4,4,4,4,4,4,4,6,Yok
4/25/2025 21:39:50,4,4,4,4,4,3,5,4,3,1,5,5,5,5,2,4,-
4/25/2025 21:44:36,3,5,4,4,4,4,4,3,4,2,3,4,2,4,2,2,Çocuklar için kullanımı kolay olmasına dikkat edildiği taktirde bizler için bir sıkıntı çıkacağını sanmıyorum. 
4/25/2025 22:30:08,5,4,5,4,4,2,3,3,3,3,3,3,3,3,3,3,Yok
