Timestamp,"1.Destek programına katılmak, deprem sonrasında duygusal açıdan desteklenmemi ve kendimi daha güvende hissetmemi sağladı. ","2.Bu proje, eğitimime devam etme motivasyonumu artırdı. ","3.Ücretsiz destek dersleri, ders konularını kavrayışımı belirgin şekilde geliştirdi. ","4.Gönüllü üniversite öğrencilerinden ders almayı, geleneksel öğretmenlerden ders almaya tercih ederim. ",5.Gönüllü öğretmenlerin paylaştığı bilgilerin güvenilirliği ve doğruluğu konusunda endişelerim var.,6.Bire bir destek derslerini grup derslerine tercih ediyorum. ,"7.Dersler için Zoom'u ana araç olarak kullanmak, etkili bir öğrenme ortamı sağladı.","8.Akranlar arası eğitim için özel bir online platform olsaydı, öğrenme deneyimim çok daha iyi olurdu. ",9.Akran eğitim modelinin dünya çapında yaygınlaştırılmasının eğitim eşitsizliklerini azaltacağını düşünüyorum.,"10.1 Doğal afet dönemlerinde (örneğin, okullar kapandığında ya da zarar gördüğünde)","10.2 Normal zamanlarda, düzenli sınıf eğitiminin yanında bir destek aracı olarak","11.Gelecekte üniversiteye başladığımda, üst sınıf veya doktora öğrencilerinin verdiği akran destek derslerinden faydalanmaya devam etmek isterim. (Üniversiteye gitmeyi düşünmüyorsanız bu soruyu atlayabilirsiniz.) ",12.Gelecekteki akran eğitimi projelerine gönüllü bir eğitmen olarak katkı sağlamaya istekliyim. (Üniversiteye gitmeyi düşünmüyorsanız bu soruyu atlayabilirsiniz.) ,13.Gelecekte akranlar arası destek derslerini geliştirmek için ne gibi önerileriniz var?
4/14/2025 2:40:12,5,5,5,3,1,3,5,1,5,5,5,5,5,"Akranlar arası destek dersleri, yapılandırılmış programlar ve iletişim eğitimiyle daha etkili hâle getirilebilir. Dijital platformlar ve oyunlaştırma yöntemleri de süreci destekleyerek öğrenci katılımını artırabilir."
4/14/2025 8:06:07,5,5,5,4,1,5,5,5,5,5,5,5,5,Daha fazla kişiye ulaşıp alt yapıyı daha kuvvetlendirmek bol bol soru çözümü 
4/14/2025 21:48:25,4,5,5,3,2,4,5,4,4,4,4,5,5,Online derslerin yanında yüz yüze dersler verilmesini isterim
4/15/2025 14:06:50,5,5,5,3,1,3,3,5,3,5,5,5,,Kesinlikle devam etmesi gereken bir platform..
4/16/2025 12:47:19,5,5,5,5,5,5,5,5,5,4,4,5,5,Önce duygusal bağ kurmak hedefe göre ders çalışmak süreli eğlenceli dersler de zaman nin nasıl geçtiğini farketmeden güzel programlar la geçmesini sağlayan genç leri heveslenmesi çok önemli buluyorum bize böyle fırsat lar sundugunuz için çok teşekkür ederiz 
4/16/2025 14:14:10,5,5,5,3,1,3,5,3,5,3,3,5,5,Herkese eğitim verilmesi
4/16/2025 14:39:13,4,5,4,4,2,5,4,5,5,5,4,5,4,Bilmiyorum.
4/22/2025 21:03:26,5,5,5,5,1,3,3,5,5,5,5,5,5,Online buluşmalar olabilir.
4/22/2025 21:08:03,5,3,5,5,1,2,3,5,5,5,5,5,5,Simdilik yok benim icin su anki gayet yeterli ve tatmin edici
4/22/2025 21:12:46,5,5,4,4,2,3,3,5,5,5,5,5,4,Hocalarimizin bu surecte bazi egitim sertifikalariyla  ozel kuruluslar tarafindan desteklenmesini hem kendilerini hem bizleri daha iyi gelistirmesi icin faydali buluyorum 
4/22/2025 21:25:10,4,5,4,3,4,5,4,5,5,5,3,4,4,bireysel eğitimlere ve derslere daha öncelik verilebilir.
4/22/2025 22:49:18,5,5,5,5,3,5,4,4,5,5,5,5,4,Geri bildirim yöntemi iyi olabilir sürecin daha iyi hale getirilmesi için anketler hazırlanıp düzenli aralıklarla öğrencilerden ve öğretmenlerden fikir alınabilir
4/23/2025 11:27:50,5,5,5,5,1,4,3,5,5,5,5,5,5,ayrı bir platform oluşturulabilirse cok daha sağlıklı olabileceğini düşünüyorum
4/23/2025 23:26:52,5,5,5,5,2,2,2,5,5,5,5,3,5,Çok iyi bir fırsat.
4/24/2025 16:25:10,5,5,5,5,2,3,4,4,5,5,5,5,5,Gerçek zamanlı akran geri bildirim sistem; öğrenciler birbirlerinin çözümlerine anında yorum yapabilsin.
4/25/2025 20:35:53,5,5,5,5,1,5,5,5,5,4,4,5,5,Deneme lerde olan deneme sorularını derslerde çözümeleri daha iyi olur cozemedikleri soruları derslerde hoca lariyla çözmeleri netlerini yukselte bilir. Teşekkürler hocam 
4/25/2025 20:40:25,5,5,5,5,5,5,5,5,5,5,5,5,5,Kesinlikle öneririm 
4/25/2025 20:42:09,3,4,4,3,5,5,2,4,3,5,3,1,2,Kolaydan zora doğru ilerlemesi
4/26/2025 9:59:02,5,5,5,4,2,5,4,4,4,4,2,4,5,Eşit şartlarda eğitim verebiliriz 
